OBJECTID,FID_OpenAcess_SingleFeature,ORIG_FID,FID_CityCounties_20211123_canad,COUNTY_NAME,CITY,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,educationalattainment_nohs_cy,educationalattainment_somehs_cy,educationalattainment_hsgrad_cy,educationalattainment_ged_cy,educationalattainment_smcoll_cy,educationalattainment_asscdeg_c,educationalattainment_bachdeg_c,educationalattainment_graddeg_c,educationalattainment_educbasec,populationtotals_totpop_cy,raceandhispanicorigin_pacific_c,raceandhispanicorigin_othrace_c,raceandhispanicorigin_asian_cy,raceandhispanicorigin_amerind_c,raceandhispanicorigin_black_cy,raceandhispanicorigin_white_cy,raceandhispanicorigin_hisppop_c,raceandhispanicorigin_race2up_c,raceandhispanicorigin_nonhisp_c,householdincome_hinc0_cy,householdincome_hinc15_cy,householdincome_hinc25_cy,householdincome_hinc35_cy,householdincome_hinc50_cy,householdincome_hinc75_cy,householdincome_hinc100_cy,householdincome_hinc150_cy,householdincome_hinc200_cy,householdincome_hincbasecy,F5yearincrements_pop0_cy,F5yearincrements_pop5_cy,F5yearincrements_pop10_cy,F5yearincrements_pop15_cy,F5yearincrements_pop20_cy,F5yearincrements_pop25_cy,F5yearincrements_pop30_cy,F5yearincrements_pop35_cy,F5yearincrements_pop40_cy,F5yearincrements_pop45_cy,F5yearincrements_pop50_cy,F5yearincrements_pop55_cy,F5yearincrements_pop60_cy,F5yearincrements_pop65_cy,F5yearincrements_pop70_cy,F5yearincrements_pop75_cy,F5yearincrements_pop80_cy,F5yearincrements_pop85_cy,ownerrenter_owner_cy,ownerrenter_renter_cy,Age0_9,Age20_29,Age10_19,Age30_39,Age40_49,Age50_59,Age60_69,Age70_79,Age80_plus,Edu_lessHS,Edu_HS_lessBa,Edu_BachGrad,Shape__Area,Shape__Length
1,1,1,37,San Diego,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,1,US,7,0,5,3,19,2,2,0,38,51,0,9,0,2,0,35,19,4,32,5,3,7,3,2,3,3,0,0,25,3,3,3,2,2,3,3,4,2,3,3,3,4,4,4,2,1,1,15,9,6,5,5,7,5,6,8,6,2,7,29,2,20069499.0429688,20084.2293959896
2,2,1,37,San Diego,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,2,US,11,0,9,4,33,4,3,0,64,88,0,16,1,3,1,61,33,6,55,6,5,9,4,2,4,4,0,0,34,5,5,5,4,4,5,6,7,4,5,5,6,7,7,7,4,2,1,21,13,10,9,9,13,9,11,14,11,3,11,50,3,5933227.25390625,8757.63581424023
3,3,1,151,San Diego,Coronado,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",0,3,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11505.73046875,2642.12902100955
4,3,1,424,San Diego,San Diego,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,4,US,0,0,44,0,58,6,26,13,147,416,1,13,15,6,48,318,70,15,346,0,0,0,0,0,0,0,0,0,0,1,2,3,25,239,81,28,18,10,6,2,1,1,0,0,0,0,0,0,3,3,320,28,46,16,3,1,0,0,0,108,39,2580994.4453125,8387.39086198448
5,4,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,5,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962398.41796875,16455.746604475
6,4,1,112,Imperial,Calexico,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,6,US,4310,3177,4023,549,4597,1691,3302,999,22648,36442,21,12198,392,192,126,21987,35599,1527,843,1733,1194,981,1615,1489,915,1101,487,157,9672,2652,2742,2758,2864,2781,2964,2608,2072,2008,1977,1996,1952,1874,1627,1378,985,656,549,5572,4099,5394,5745,5622,4680,3985,3948,3501,2363,1205,7487,10860,4301,21699739.0195313,23682.1639901161
7,5,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,7,US,0,0,1,0,1,0,0,0,2,4,0,1,0,0,0,3,4,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,4678886.52734375,7837.32631276655
8,6,1,19,Los Angeles,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",0,8,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920127.5,19328.8737365782
9,7,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,9,US,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11827689.453125,13327.1138109087
10,8,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,10,US,643,662,784,122,1128,195,469,76,4079,6985,0,2397,39,45,47,4066,6724,390,260,257,151,247,268,294,263,251,23,25,1780,608,615,588,574,519,620,529,525,417,383,371,312,282,208,174,126,72,61,1211,568,1223,1139,1162,1054,800,683,490,300,133,1305,2229,545,9525024.3828125,13007.3500505913
11,9,1,19,Los Angeles,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",0,11,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330886.66796875,10021.7405367044
12,10,1,19,Los Angeles,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",0,12,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775522.95703125,9193.71273252509
13,11,1,19,Los Angeles,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",0,13,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1866147.98046875,9714.12776974658
14,12,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,14,US,10,14,19,1,29,14,29,23,139,224,0,55,11,3,4,141,182,10,42,4,3,1,3,7,12,23,8,3,65,19,19,17,15,16,23,16,15,17,15,13,12,9,7,5,4,2,2,51,14,38,39,32,31,32,25,16,9,4,24,63,52,2528847.73046875,9966.28015180907
15,12,1,181,Imperial,El Centro,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,15,US,83,110,150,7,228,109,235,186,1108,1787,3,439,90,25,29,1124,1455,78,332,28,25,11,22,50,84,162,60,25,466,149,148,137,120,126,180,131,117,133,121,107,93,74,56,42,28,12,14,366,100,297,306,257,248,254,200,130,70,26,193,494,421,1855241.7265625,8939.99097264891
16,13,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,16,US,6,4,19,2,17,1,7,0,56,104,0,6,0,59,2,30,37,7,67,5,2,3,7,6,2,3,1,0,30,12,11,9,9,6,8,6,6,6,4,4,5,5,6,4,3,1,1,14,16,23,14,18,12,10,9,11,7,2,10,39,7,1985204.1875,6094.2206387907
17,14,1,19,Los Angeles,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",0,17,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816456.80078125,5670.17555618121
18,15,1,424,San Diego,San Diego,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,18,US,83,58,292,44,416,274,887,424,2478,3283,34,195,842,21,159,1825,607,206,2676,111,27,54,113,230,342,405,244,96,1621,171,181,176,137,140,210,368,392,332,224,190,184,188,138,101,68,40,44,523,1098,352,350,313,760,556,374,326,169,84,141,1026,1311,3318699.67578125,6461.60202219746
19,16,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,19,US,125,51,210,16,274,58,98,9,841,1415,3,663,16,7,19,584,1249,123,166,114,37,54,109,37,15,16,14,4,400,126,128,116,96,108,137,108,94,57,64,74,73,74,65,32,28,20,16,225,175,254,245,212,202,121,147,139,60,36,176,558,107,11266829.9921875,13785.3998886871
20,17,1,19,Los Angeles,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",0,20,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654015.2109375,8521.91850556248
21,18,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,21,US,7,7,22,4,27,8,19,9,103,157,0,32,5,2,3,105,125,10,32,2,2,2,4,7,19,11,5,3,55,10,11,11,12,11,15,13,10,9,11,11,10,8,7,4,2,2,2,41,14,21,26,23,23,20,21,15,6,4,14,61,28,2675975.921875,16294.8191056946
22,18,1,181,Imperial,El Centro,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,22,US,4277,2897,4685,682,5345,1613,2491,1335,23325,36238,38,11266,607,498,1011,20849,31513,1969,4725,1883,1458,1119,1866,1903,1168,1087,491,324,11299,2656,2665,2541,2449,2602,3263,2959,2265,1849,1785,1945,2012,2065,1779,1347,927,574,555,5707,5593,5321,5865,4990,5224,3634,3957,3844,2274,1129,7174,12325,3826,27297299.4375,31902.9118629824
23,19,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,23,US,0,1,3,0,1,0,0,1,6,10,0,1,0,6,0,2,4,1,6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,2,2,2,2,2,2,1,1,0,1,4,1,4962314.91015625,7947.15906443325
24,20,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,24,US,14,9,43,5,37,3,15,0,126,227,0,14,0,129,4,66,80,14,147,11,6,7,16,15,5,7,3,0,70,26,23,20,19,13,18,14,12,13,9,8,11,10,12,8,6,2,3,33,37,49,31,39,26,22,19,22,14,5,23,88,15,19961721.6171875,18359.9687399506
25,21,1,13,Imperial,,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,25,US,52,70,70,5,45,15,19,7,283,457,1,203,4,3,3,228,403,15,54,47,19,5,17,18,9,14,8,4,142,33,32,30,39,39,42,27,27,23,24,21,25,27,22,18,12,8,7,64,78,65,81,69,54,47,46,49,30,15,122,135,26,4758309.48828125,24106.8950414954
26,21,1,239,Imperial,Holtville,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",1,26,US,678,655,871,25,841,198,274,141,3683,5753,5,1872,52,44,32,3571,5002,177,751,323,216,66,219,471,167,218,25,45,1750,403,426,376,403,459,509,352,332,285,272,290,374,348,306,237,157,101,120,1038,712,829,968,779,684,557,664,654,394,221,1333,1935,415,3994584.609375,13943.6202482947
